"","osm_id","lon","lat"
"164","296935648",2.8905379,42.7242628
"165","296935651",2.8910112,42.7246699
"166","296935652",2.8911354,42.7247785
"167","296935655",2.8905797,42.7242986
"168","296935660",2.8909161,42.7245877
"169","296935738",2.8919476,42.7254845
"170","296935739",2.8919701,42.7255053
"171","296936051",2.8871169,42.7240513
"172","296936062",2.8871262,42.7240819
"173","296936071",2.8871489,42.7241581
"174","301842087",-2.690452,42.8562959
"175","301842088",-2.6901522,42.8563546
"176","301842089",-2.689555,42.8563354
"177","301842090",-2.6892161,42.8561491
"178","301842091",-2.6880791,42.8551885
"179","301842095",-2.6910751,42.853597
"180","301842097",-2.6920159,42.8549363
"181","301842099",-2.6919179,42.855219
"182","301842100",-2.691312,42.855842
"183","301842101",-2.690696,42.8562004
"184","310140579",2.3307228,43.2123611
"185","312574771",-2.8593986,43.287761
"186","312574772",-2.8578939,43.2888789
"187","312574773",-2.8576196,43.2893034
"188","312574774",-2.8566336,43.2913902
"189","320131660",1.9611186,43.3172265
"190","320131663",1.9608943,43.316104
"191","320131665",1.9606564,43.3156735
"192","320131668",1.9607644,43.3155879
"193","320131674",1.9615234,43.3153326
"194","320131677",1.9621699,43.3150731
"195","320131679",1.9627038,43.3148021
"196","320131681",1.9631746,43.3156333
"197","320131688",1.963335,43.3161607
"198","320131692",1.9634254,43.316445
"199","320131696",1.9620207,43.3169952
"200","335904121",3.2298944,43.3443946
"201","335904123",3.2320215,43.3446602
"202","335904124",3.2340835,43.3448787
"203","335904125",3.2337482,43.3460658
"204","335904128",3.2321909,43.3470937
"205","335904129",3.2301907,43.346782
"206","335907920",2.417528,42.617115
"207","335907921",2.4174907,42.6171627
"208","335907932",2.417403,42.61726
"209","335907933",2.417306,42.617375
"210","335907934",2.4171064,42.6172796
"211","335907938",2.417042,42.617248
"212","335907939",2.416929,42.617194
"213","335948245",2.4171326,42.6166042
"214","336101877",2.4169939,42.6168755
"215","336101879",2.4169895,42.6167756
"216","336101882",2.4169302,42.6168464
"217","339012098",2.7585504,43.1948095
"218","339012099",2.7594267,43.1954164
"219","339012100",2.7597906,43.1952739
"220","339012101",2.759985,43.1953404
"221","339012102",2.7608725,43.1950173
"222","339012103",2.7607976,43.194872
"223","339012104",2.7591772,43.1937667
"224","339012106",2.7584291,43.1943521
"225","339012107",2.7583488,43.1945113
"226","339012108",2.7586665,43.194726
"227","354536644",2.9991471,43.1809788
"228","354536646",2.999548,43.181389
"229","354536647",3.0004569,43.181339
"230","354536648",3.0011424,43.1812155
"231","369675280",1.3127371,43.4411874
"232","369677219",1.3113446,43.4445073
"233","369677278",1.3115179,43.444444
"234","369677283",1.3117584,43.4444508
"235","369677301",1.3090822,43.4427198
"236","370073102",1.3371232,43.4656847
"237","370073108",1.3379575,43.4665287
"238","370073116",1.3373831,43.4663858
"239","370073119",1.3368925,43.4650052
"240","370073123",1.3392769,43.4652238
"241","370073125",1.3390091,43.4644951
"242","393402881",-8.2029811,43.4812385
"243","393402882",-8.2035305,43.4806593
"244","393402883",-8.2040741,43.4801441
"245","393402884",-8.2031039,43.47975
"246","393402885",-8.2026779,43.4796478
"247","393402886",-8.2018096,43.4794963
"248","393402887",-8.2013667,43.4807848
"249","393402888",-8.2025949,43.481089
"250","395563640",-0.3513231,43.3286417
"251","395563647",-0.3512132,43.3253108
"252","395563649",-0.3451782,43.3239108
"253","395563651",-0.3418338,43.3265493
"254","395563652",-0.3442434,43.3272908
"255","395563654",-0.3484671,43.3277531
"256","395563656",-0.3496509,43.3279555
"257","395563678",-0.3493855,43.3283286
"258","395563679",-0.3507225,43.3285163
"259","395631050",-0.3517052,43.3238877
"260","395631056",-0.3504058,43.3237943
"261","395631063",-0.3484407,43.3233001
"262","395631072",-0.3482957,43.3241555
"263","395631078",-0.3512716,43.3251249
"264","395631082",-0.3364095,43.3049608
"265","395631084",-0.3328206,43.3043827
"266","395631090",-0.3342309,43.3004454
"267","395631093",-0.34151,43.3000317
"268","395631097",-0.3417954,43.3039936
"269","395631099",-0.3406522,43.30387
"270","395631100",-0.3387442,43.3052537
"271","395631105",-0.3406492,43.3040808
"272","395631108",-0.3389524,43.3042646
"273","395631109",-0.3377306,43.2994443
"274","395631112",-0.336634,43.299189
"275","395631114",-0.3423315,43.3008044
"276","431407526",0.7137674,43.112755
"277","431407527",0.7121381,43.1115781
"278","431407528",0.7119647,43.1114576
"279","431407529",0.7122849,43.1113055
"280","431407530",0.7111727,43.1104926
"281","431407531",0.7096964,43.1115723
"282","431407532",0.707608,43.1122527
"283","431407533",0.7084574,43.1124716
"284","431407534",0.7087031,43.1134718
"285","431407535",0.7089281,43.1143174
"286","431407536",0.7096941,43.1141832
"287","431407537",0.7102491,43.1140595
"288","431407538",0.7113888,43.1136242
"289","431407539",0.7128614,43.1130798
"290","431407685",0.7101506,43.1140396
"291","431575401",0.7330826,43.1162449
"292","431575404",0.733118,43.1162499
"293","431575406",0.7331223,43.1162395
"294","431575408",0.7332084,43.1162467
"295","431575410",0.733209,43.1162631
"296","431575412",0.733293,43.1162724
"297","431575413",0.7332976,43.1162539
"298","431575415",0.7334252,43.1162669
"299","431575418",0.7333914,43.116468
"300","431575420",0.7335768,43.116487
"301","431575422",0.7335858,43.1164522
"302","431575423",0.7336881,43.1164611
"303","431575425",0.7337149,43.1163335
"304","431575427",0.7337959,43.1163436
"305","431575430",0.7337911,43.1163703
"306","431575432",0.733939,43.1163851
"307","431575435",0.7339357,43.1163925
"308","431575437",0.733963,43.1163966
"309","431575439",0.7339893,43.1162868
"310","431575441",0.7340298,43.1162896
"311","431575443",0.7340262,43.1163112
